text,labels
(-;,Happiness
(;_;),Sadness
(^^),Happiness
(^-^),Happiness
(^^*,Happiness
(^_^),Happiness
(^_^;,Sadness
(^o^),Happiness
(-_-),Sadness
(T_T),Sadness
(ㅡㅡ),Sadness
)-:,Sadness
*^^*,Happiness
/^o^\,Happiness
:(,Happiness
:'-(,Happiness
:-(,Happiness
:),Sadness
:-),Happiness
:/,Sadness
:|,Happiness
:D,Sadness
:-D,Sadness
:p,Neutral
:-P,Sadness
;,Happiness
;),Happiness
;-),Happiness
;ㅅ;,Sadness
^///^,Happiness
^^,Happiness
^^//,Happiness
^-^;,Sadness
^-^;;,Sadness
^-^;;;;;,Sadness
-_-^,Sadness
<3,Happiness
=),Happiness
8-),Neutral
B-),Neutral
XD,Happiness
ㄱㅅ,Happiness
ㄱㅇㄷ,Happiness
가격이 싸다,Happiness
가까스로,Neutral
가까이 사귀어,Happiness
가까이하다,Happiness
가꾸러뜨리다,Sadness
가꾸러트리다,Sadness
가난,Anger
가난뱅이,Anger
가난살이,Anger
가난살이하다,Anger
가난설음,Anger
가난에,Anger
가난에 쪼들려서,Anger
가난하게,Anger
가난하고,Anger
가난하고 어렵다,Anger
가난하고 천한,Anger
가난하다,Anger
가난하여,Anger
가난한,Anger
가난한 데다가,Anger
가난한 사람을,Anger
가난히,Anger
가년스럽다,Anger
가념하다,Sadness
가녕스럽다,Anger
가누기 어려워하다,Sadness
가누지 못하고,Anger
가누지 못하다,Anger
가누지 못할,Anger
가누지 못할 정도로,Anger
가누지 못함,Anger
가눌 수 없게,Anger
가눌 수 없을,Anger
가눌 수 없이,Anger
가능성이 늘어나다,Love
가능성이 있다고,Love
가능하다,Love
가닐가닐하다,Sadness
가다듬어,Happiness
가다듬어 수습하는,Happiness
가다듬어 수습하다,Happiness
가다듬어 정하다,Happiness
가당찮다,Anger
가당찮이,Anger
가당히,Happiness
가두거나,Sadness
가두거나 해치거나,Anger
가드올려,Sadness
가뜬하게,Happiness
가라앉다,Neutral
가라앉지 않은,Neutral
가라앉혀 바로잡다,Happiness
가래,Sadness
가래 따위가,Sadness
가래가,Sadness
가래가 섞인,Sadness
가량맞고,Sadness
가량맞고 야살스러운,Sadness
가량맞고 야살스러움,Sadness
